,SELLER,REBOUND TYPE,COSTUMER ID,ORDER NUMBER,DATE ATTENDED,DATE DELIVERED,PRODUCT,UNIT AMOUNT,QUANTITY,Amount per Item/Total Amount,REASON,Charged (Fortnight/Month/Year Number),DAYS TO DELIVER
162,ABEL D,PARTIAL,1597,30_1676995077667,,,LA MINUCHA FIDEOS SPAGHETTI X 500GR,99,12,1188,WITHOUT MONEY,2Q/2/23,
163,ABEL D,PARTIAL,2096,30_1677007738657,,,Taragui Te Tradic. X 25 Saquitos,96,2,192,NO REQUEST,2Q/2/23,
164,ABEL D,PARTIAL,1952,30_1676644267319,,,Lulemuu Tostadas De Arroz Clasica X 120 G,110,1,110,CLOSED,2Q/2/23,
165,ABEL D,PARTIAL,503,30_1677071395321,,,Lulemuu Alfajor De Arroz Blanco X 12,890,1,890,CLOSED,2Q/2/23,
166,ABEL D,PARTIAL,1422,30_1677077423921,,,DULCYPAS MADALENA VAINILLA PAQX250G,197,6,1182,CLOSED,2Q/2/23,
167,ABEL D,PARTIAL,1968,30_1677079094886,,,Que Lo Paleo Barra Proteica Castañas X 12 U,2450,1,2450,CLOSED,2Q/2/23,
168,ABEL D,PARTIAL,1632,30_1675254669337,2023-01-02,2023-03-02,Pepsi Packx6 Latax 354 Cc,720,1,720,CLOSED,2Q/2/23,59.0
169,ABEL D,PARTIAL,2396,30_1677090743330,,,Franks Galletas Con Chips Sin Tacc X 120 G,224,2,448,CLOSED,2Q/2/23,
170,ABEL D,PARTIAL,1995,30_1677515285360,,2023-02-03,QUILMES CERVEZA CLASICA LATA 473 ML PACK X6,1158,2,2316,WITHOUT MONEY,2Q/2/23,
171,ABEL D,PARTIAL,2076,30_1677497333893,,2023-01-03,DULCYPAS GALLETITAS PEPAS PAQX 180G,99,5,495,WITHOUT MONEY,2Q/2/23,
172,ABEL D,PARTIAL,2076,30_1677497333893,,2023-01-03,DULCYPAS GALLETITAS PEPAS PAQX 400G,189,5,945,WITHOUT MONEY,2Q/2/23,
173,ABEL D,PARTIAL,2410,30_1677498002809,,2023-01-03,DULCYPAS GALLETITAS PEPAS PAQX 180G,99,6,594,WITHOUT MONEY,2Q/2/23,
174,ABEL D,PARTIAL,1996,30_1677078450843,,,Que Lo Paleo Barra Proteica Choco Negro X 12 U,1440,1,1440,WITHOUT MONEY,2Q/2/23,
175,ABEL D,PARTIAL,2046,30_1675689248995,2023-07-02,2023-08-02,Suiza Limpiador Flores De Primavera X 5 L,550,1,550,WITHOUT MONEY,2Q/2/23,31.0
176,ABEL D,PARTIAL,1269,30_1677252545505,,,SPORTADE BLUE PACKX6 BOT 750ML,1014,1,1014,OUT OF STOCK,2Q/2/23,
177,ABEL D,PARTIAL,2044,30_1677341127849,,,SPORTADE BLUE PACKX6 BOT 750ML,1014,3,3042,OUT OF STOCK,2Q/2/23,
178,ABEL D,TOTAL,2470,30_1678109104367,2023-06-03,2023-07-03,Que Lo Paleo Barra Proteica Castañas X 12 U,2450,2,4900,CLOSED,1Q/3/23,30.0
179,ABEL D,TOTAL,2011,30_1678539660517,2023-11-03,,Franks Galletas Con Chips Sin Tacc X 120 G,224,10,2240,CLOSED,1Q/3/23,
180,ABEL D,TOTAL,1960,30_1678551180793,,,Que Lo Paleo Barra Proteica Castañas X 12 U,2450,1,2450,NO REQUEST,1Q/3/23,
181,ABEL D,TOTAL,1960,30_1678551180793,,,SPORTADE BLUE PACKX6 BOT 750ML,1014,3,3042,NO REQUEST,1Q/3/23,
182,ABEL D,TOTAL,1960,30_1678551180793,,,DULCYPAS GALLETITAS PEPAS PAQX 180G,99,4,396,NO REQUEST,1Q/3/23,
183,ABEL D,TOTAL,1960,30_1678551180793,,,DULCYPAS GALLETITAS PEPAS PAQX 400G,189,4,756,NO REQUEST,1Q/3/23,
184,ABEL D,TOTAL,1960,30_1678551180793,,,DULCYPAS GALLETITAS PEPAS PAQX 180G,99,4,396,NO REQUEST,1Q/3/23,
185,ABEL D,TOTAL,1796,30_1678713486771,,,Mini Pamela Galletas Chocolate X 180 G,136,1,136,CLOSED,1Q/3/23,
186,ABEL D,TOTAL,1796,30_1678713486771,,,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1800,2,3600,CLOSED,1Q/3/23,
187,ABEL D,TOTAL,1796,30_1678713486771,,,Taragui Te Trad X 50 Saquitos,183,20,3660,CLOSED,1Q/3/23,
188,ABEL D,TOTAL,1796,30_1678713486771,,,DULCYPAS GALLETITAS PEPAS PAQX 400G,189,5,945,CLOSED,1Q/3/23,
189,ABEL D,TOTAL,1712,30_1678288674311,2023-09-03,,Trym's Nachos Cheddar Sin Tacc X 75 G,182,2,364,CLOSED,1Q/3/23,
190,ABEL D,TOTAL,2121,30_1678220467929,2023-08-03,2023-12-03,TRYMS NACHOS JALAPEÑO Y LIMA SIN TAC 75G,182,2,364,CLOSED,1Q/3/23,122.0
191,ABEL D,TOTAL,2121,30_1678220467929,2023-08-03,2023-12-03,Arbanit Cubanitos Avellanas Displayx 12 Unidades,1270,1,1270,CLOSED,1Q/3/23,122.0
192,ABEL D,TOTAL,2121,30_1678220467929,2023-08-03,2023-12-03,DULCYPAS GALLETITAS PEPAS PAQX 180G,99,5,495,CLOSED,1Q/3/23,122.0
193,ABEL D,PARTIAL,1946,30_1678932746077,,,Lulemuu Tostadas De Arroz Multi Semilla X 110 G,110,3,330,CLOSED,2Q/3/23,
194,ABEL D,PARTIAL,1292,30_1678971320123,,,FUN CHUPETIN CRAZY POP NARANJA TIRA X20,1640,1,1640,CLOSED,2Q/3/23,
195,ABEL D,PARTIAL,891,30_1678980036095,,,TRYMS NACHOS JALAPEÑO Y LIMA SIN TAC 75G,182,2,364,CLOSED,2Q/3/23,
196,ABEL D,PARTIAL,2226,30_1679062979880,,,Suiza Cera En Pasta Roble Claro X 450 Cc,900,2,1800,CLOSED,2Q/3/23,
197,ABEL D,PARTIAL,2402,30_1679061565684,,,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1560,1,1560,CLOSED,2Q/3/23,
198,ABEL D,PARTIAL,1450,30_1678980842049,,,Que Lo Paleo Barra Proteica Castañas X 12 U,2450,1,2450,CLOSED,2Q/3/23,
199,ABEL D,PARTIAL,1450,30_1678980842049,,,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1440,1,1440,CLOSED,2Q/3/23,
200,ABEL D,PARTIAL,1450,30_1678980842049,,,Que Lo Paleo Barra Proteica Choco Negro X 12 U,1440,2,2880,CLOSED,2Q/3/23,
201,ABEL D,PARTIAL,1113,30_1678976554876,,,Dec Pasta De Mani X 470 G,630,10,6300,WITHOUT MONEY,2Q/3/23,
202,ABEL D,PARTIAL,2459,30_1679068026080,,,Mini Pamela Galletas Chocolate X 180 G,136,2,272,WITHOUT MONEY,2Q/3/23,
203,ABEL D,PARTIAL,1951,30_1679147817145,,,Mini Pamela Galletas Chocolate X 180 G,136,4,544,WITHOUT MONEY,2Q/3/23,
204,ABEL D,PARTIAL,1008,30_1679494009743,,,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1800,2,3600,WITHOUT MONEY,2Q/3/23,
205,ABEL D,PARTIAL,1780,30_1679489011562,,,Taragui Te Trad X 50 Saquitos,183,16,2928,WITHOUT MONEY,2Q/3/23,
206,ABEL D,PARTIAL,1780,30_1679489011562,,,La Española Maiz Pisingallo X 500 G,150,20,3000,WITHOUT MONEY,2Q/3/23,
207,ABEL D,PARTIAL,1781,30_1679492489994,,,LA MINUCHA LECHE CHOCOLATADA X 1L,273,8,2184,WITHOUT MONEY,2Q/3/23,
208,ABEL D,PARTIAL,2059,30_1679158740389,,,SPORTADE BEBIDA ISOT BLUE PACK X6 BOT 750,1014,1,1014,WITHOUT MONEY,2Q/3/23,
209,ABEL D,PARTIAL,2191,30_1679313746384,,,Trym's Nachos Cheddar Sin Tacc X 75 G,182,5,910,WITHOUT MONEY,2Q/3/23,
210,ABEL D,PARTIAL,1292,30_1679576031148,,,TRYMS NACHOS JALAPEÑO Y LIMA SIN TAC 75G,182,5,910,WITHOUT MONEY,2Q/3/23,
211,ABEL D,PARTIAL,1154,30_1679584832579,,,Arbanit Cubanitos Avellanas Displayx 12 Unidades,1270,1,1270,WITHOUT MONEY,2Q/3/23,
212,ABEL D,PARTIAL,1113,30_1679596012579,,,PASO DE LOS TOROS POMELO BOTX 6 500 CC,912,3,2736,WITHOUT MONEY,2Q/3/23,
213,ABEL D,PARTIAL,1128,30_1679496730736,,,PASO DE LOS TOROS POMELO BOTX 6 500 CC,912,2,1824,WITHOUT MONEY,2Q/3/23,
214,ABEL D,PARTIAL,2036,30_1679511207337,,,Suiza Cera En Pasta Roble Claro X 450 Cc,2518,1,2518,WITHOUT MONEY,2Q/3/23,
215,ABEL D,PARTIAL,1632,30_1679673648864,,,PARCIALES,2063,1,2063,WITHOUT MONEY,2Q/3/23,
216,ABEL D,PARTIAL,2011,30_1679676191442,,,Que Lo Paleo Barra Proteica Choco Negro X 12 U,1800,1,1800,WITHOUT MONEY,2Q/3/23,
217,ABEL D,PARTIAL,1975,30_1679666986053,,,Trym's Papas Fritas Acanaladas Kettle Barbacoa Tex Sin Tacc X 60 G,182,3,546,WITHOUT MONEY,2Q/3/23,
218,ABEL D,PARTIAL,2340,30_1679932287216,,2023-01-04,LA MINUCHA FIDEOS CODITOX 500GR,130,1,130,WITHOUT MONEY,2Q/3/23,
219,ABEL D,TOTAL,2241,30_1680966914837,2023-08-04,2023-12-04,PASO DE LOS TOROS POMELO BOTX 6 500 CC,912,5,4560,WITHOUT MONEY,1Q/4/23,122.0
220,ABEL D,TOTAL,2241,30_1680966914837,2023-08-04,2023-12-04,SPORTADE BEBIDA ISOT BLUE PACK X6 BOT 750,1014,5,5070,WITHOUT MONEY,1Q/4/23,122.0
221,ABEL D,TOTAL,239,30_1680880293337,2023-08-04,2023-12-04,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1800,3,5400,WITHOUT MONEY,1Q/4/23,122.0
222,ABEL D,TOTAL,2345,30_1681227349308,2023-12-04,,Pepsi Packx6 Latax 354 Cc,940,6,5640,WITHOUT MONEY,1Q/4/23,
223,ABEL D,TOTAL,2345,30_1681227349308,2023-12-04,,La Española Maiz Pisado Blanco X 400 G,174,20,3480,WITHOUT MONEY,1Q/4/23,
224,ABEL D,TOTAL,2345,30_1681227349308,2023-12-04,,Mirinda Packx6 Manzana Botellax 500 Cc,1003,3,3009,WITHOUT MONEY,1Q/4/23,
225,ABEL D,TOTAL,2227,30_1680799192257,2023-06-04,2023-10-04,Palau Agua Mineral Bidon 2 Ux 6 Lts,712,5,3560,WITHOUT MONEY,1Q/4/23,122.0
226,ABEL D,TOTAL,2227,30_1680799192257,2023-06-04,2023-10-04,PASO DE LOS TOROS POMELO BOTX 6 500 CC,912,6,5472,WITHOUT MONEY,1Q/4/23,122.0
227,ABEL D,TOTAL,2227,30_1680799192257,2023-06-04,2023-10-04,Maxisec Rollo Cocina 200 Paños X 8 U,2315,2,4630,WITHOUT MONEY,1Q/4/23,122.0
228,ABEL D,TOTAL,2227,30_1680799192257,2023-06-04,2023-10-04,Maxisec Rollo Cocina 200 Paños X 8 U,2315,2,4630,WITHOUT MONEY,1Q/4/23,122.0
229,ABEL D,TOTAL,656,30_1680535984566,2023-04-04,2023-08-04,Arrotuc Galleta De Arroz Integral Sin Sal X 12 U,120,20,2400,WITHOUT MONEY,1Q/4/23,122.0
230,ABEL D,TOTAL,239,30_1679672554594,,,Trym's Papas Fritas Pimiento Morron Sin Tacc X 60 G,189,10,1890,WITHOUT MONEY,1Q/4/23,
231,ABEL D,TOTAL,239,30_1679672554594,,,Trym's Papas Fritas Pimiento Morron Sin Tacc X 60 G,189,10,1890,WITHOUT MONEY,1Q/4/23,
232,ABEL D,TOTAL,239,30_1679672554594,,,Arrotuc Galleta De Arroz Integral Sin Sal X 12 U,120,10,1200,WITHOUT MONEY,1Q/4/23,
233,ABEL D,TOTAL,1389,30_1680619724049,2023-06-04,2023-10-04,LA ESPAÑOLA BURGOL X 500G,180,10,1800,WITHOUT MONEY,1Q/4/23,122.0
234,ABEL D,TOTAL,1389,30_1680619724049,2023-06-04,2023-10-04,La Española Maiz Pisado Blanco X 400 G,174,20,3480,WITHOUT MONEY,1Q/4/23,122.0
235,ABEL D,TOTAL,1389,30_1680619724049,2023-06-04,2023-10-04,LA MINUCHA FIDEOS CODITOX 500GR,130,20,2600,WITHOUT MONEY,1Q/4/23,122.0
236,ABEL D,TOTAL,741,30_1681520732742,,,Trym's Papas Fritas Pimiento Morron Sin Tacc X 60 G,189,10,1890,WITHOUT MONEY,1Q/4/23,
237,ABEL D,TOTAL,741,30_1681520732742,,,Maxisec Rollo Cocina 200 Paños X 8 U,2315,5,11575,WITHOUT MONEY,1Q/4/23,
238,ABEL D,PARTIAL,2021,30_1680363455169,2023-03-04,2023-07-04,Maxisec Rollo Cocina 200 Paños X 8 U,2315,1,2315,WITHOUT MONEY,1Q/4/23,122.0
239,ABEL D,PARTIAL,2040,30_1680274712061,2023-01-04,2023-05-04,Maxisec Rollo Cocina 200 Paños X 8 U,2315,1,2315,WITHOUT MONEY,1Q/4/23,120.0
240,ABEL D,PARTIAL,933,30_1680799889458,2023-06-04,2023-10-04,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1800,1,1800,WITHOUT MONEY,1Q/4/23,122.0
241,ABEL D,PARTIAL,2363,30_1680795144158,2023-06-04,2023-10-04,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1800,1,1800,WITHOUT MONEY,1Q/4/23,122.0
242,ABEL D,PARTIAL,2393,30_1680704204156,2023-05-04,2023-09-04,Suiza Cera Bril Incoloro X 900 Cc,470,1,470,WITHOUT MONEY,1Q/4/23,123.0
243,ABEL D,PARTIAL,2393,30_1680704204156,2023-05-04,2023-09-04,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1800,1,1800,WITHOUT MONEY,1Q/4/23,123.0
244,ABEL D,PARTIAL,2082,30_1680614320761,2023-05-04,2023-09-04,Arrotuc Galleta De Arroz Integral Sin Sal X 12 U,120,3,360,WITHOUT MONEY,1Q/4/23,123.0
245,ABEL D,PARTIAL,1152,30_1680795417516,2023-08-04,2023-12-04,Que Lo Paleo Barra Proteica Choco Negro X 12 U,1800,1,1800,WITHOUT MONEY,1Q/4/23,122.0
246,ABEL D,PARTIAL,1632,30_|680968170177,2023-10-04,,Que Lo Paleo Barra Proteica Castañas X 12 U,2860,1,2860,WITHOUT MONEY,1Q/4/23,
247,ABEL D,PARTIAL,1701,30_1681385568516,,,Que Lo Paleo Barra Proteica Castañas X 12 U,2860,1,2860,WITHOUT MONEY,1Q/4/23,
248,ABEL D,PARTIAL,1632,30_1681310262764,,,Que Lo Paleo Barra Proteica Choco Negro X 12 U,1800,2,3600,WITHOUT MONEY,1Q/4/23,
249,ABEL D,PARTIAL,1733,30_1681308629228,,,LA ESPAÑOLA BURGOL X 500G,180,1,180,WITHOUT MONEY,1Q/4/23,
250,ABEL D,PARTIAL,1808,30_1681315830354,,,Que Lo Paleo Barra Proteica Choco Negro X 12 U,1800,1,1800,WITHOUT MONEY,1Q/4/23,
251,ABEL D,PARTIAL,1128,30_1681394884514,,,Trym's Papas Fritas Pimiento Morron Sin Tacc X 60 G,189,3,567,WITHOUT MONEY,1Q/4/23,
252,ABEL D,PARTIAL,1632,30_1681472804171,,,Trym's Papas Fritas Pimiento Morron Sin Tacc X 60 G,189,6,1134,WITHOUT MONEY,1Q/4/23,
253,ABEL D,PARTIAL,1952,30_1681520655603,,,Que Lo Paleo Barra Proteica Choco Negro X 12 U,1800,2,3600,WITHOUT MONEY,1Q/4/23,
254,ABEL D,PARTIAL,830,30_1681489514241,,,La Española Lentejas X 400 G,371,3,1113,WITHOUT MONEY,1Q/4/23,
255,ABEL D,PARTIAL,2020,30_1680362976796,2023-03-04,2023-07-04,OFF EN AEROSOL REPELENTE X 165 CM3,585,3,1755,WITHOUT MONEY,1Q/4/23,122.0
256,ABEL D,PARTIAL,1951,30_1682777292945,,2023-03-05,Tosti Tostadas Gruesas Clasica X 200 G,250,4,1000,WITHOUT MONEY,2Q/4/23,
257,ABEL D,PARTIAL,2459,30_1682772608055,,2023-03-05,La Española Maiz Pisingallo X 500 G,174,10,1740,WITHOUT MONEY,2Q/4/23,
258,ABEL D,PARTIAL,737,30_1682778121525,,2023-03-05,Pepsi Packx6 Latax 354 Cc,940,4,3760,WITHOUT MONEY,2Q/4/23,
259,ABEL D,PARTIAL,2059,30_1682787472633,,2023-03-05,La Española Maiz Pisado Blanco X 400 G,174,1,174,WITHOUT MONEY,2Q/4/23,
260,ABEL D,PARTIAL,1632,30_1682691067523,,2023-02-05,Mirinda Packx6 Manzana Botellax 500 Cc,1003,1,1003,WITHOUT MONEY,2Q/4/23,
261,ABEL D,PARTIAL,1114,30_1682697742338,,2023-02-05,Que Lo Paleo Barra Proteica Choco Negro X 12 U,1800,2,3600,WITHOUT MONEY,2Q/4/23,
262,ABEL D,PARTIAL,718,30_1682531517373,,2023-01-05,La Aldea Alfajor Choco Blanco Displayx 12 U,2145,1,2145,WITHOUT MONEY,2Q/4/23,
263,ABEL D,PARTIAL,1008,30_1682617823025,,2023-01-05,Bay Biscuit Bizcochos Sabor Original X 142 G,177,20,3540,WITHOUT MONEY,2Q/4/23,
264,ABEL D,PARTIAL,1091,30_1682444227769,,,Dec Mix Frutos Secos Saludable X 35 G,156,3,468,WITHOUT MONEY,2Q/4/23,
265,ABEL D,PARTIAL,1265,30_1682444489341,,,Bay Biscuit Bizcochos Sabor Original X 142 G,177,5,885,WITHOUT MONEY,2Q/4/23,
266,ABEL D,PARTIAL,285,30_1682443458625,,,La Minucha Pure De Tomate Tetrapackx 520 Gr,110,12,1320,WITHOUT MONEY,2Q/4/23,
267,ABEL D,PARTIAL,537,30_1682357457514,,,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1800,1,1800,WITHOUT MONEY,2Q/4/23,
268,ABEL D,PARTIAL,2226,30_1682083909825,,,Yerbacid Yerba Mate Cedron X 500 G,255,3,765,WITHOUT MONEY,2Q/4/23,
269,ABEL D,PARTIAL,2125,30_1681323007716,,,Trym's Papas Fritas Pimiento Morron Sin Tacc X 60 G,189,1,189,WITHOUT MONEY,2Q/4/23,
270,ABEL D,PARTIAL,2125,30_1681323007716,,,Trym's Papas Fritas Sal Marina Y Pimienta Sin Tacc X 60 G,189,5,945,OUT OF STOCK,2Q/4/23,
271,ABEL D,PARTIAL,2191,30_1681831527337,,,Yerbacid Yerba Mate Cedron X 500 G,255,1,255,CLOSED,2Q/4/23,
272,ABEL D,PARTIAL,2191,30_1681831527337,,,Yerbacid Yerba Mate Peperina X 500 G,255,3,765,CLOSED,2Q/4/23,
273,ABEL D,PARTIAL,2191,30_1681831527337,,,La Española Avena Instantanea X 300 G,199,4,796,CLOSED,2Q/4/23,
274,ABEL D,PARTIAL,1781,30_1681910071208,,,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1800,2,3600,WITHOUT MONEY,2Q/4/23,
275,ABEL D,PARTIAL,1781,30_1681910071208,,,Que Lo Paleo Barra Proteica Choco Negro X 12 U,1800,2,3600,WITHOUT MONEY,2Q/4/23,
276,ABEL D,PARTIAL,1781,30_1681910071208,,,Trym's Papas Fritas Clasicas Sin Tacc X 60 G,189,3,567,NO REQUEST,2Q/4/23,
277,ABEL D,PARTIAL,2393,30_1681824922190,,,La Española Avena Instantanea X 300 G,199,1,199,NO REQUEST,2Q/4/23,
278,ABEL D,PARTIAL,503,30_1681824589977,,,La Española Avena Instantanea X 300 G,199,5,995,OUT OF STOCK,2Q/4/23,
279,ABEL D,PARTIAL,1632,30_1681830558102,,,La Española Avena Instantanea X 300 G,199,6,1194,WITHOUT MONEY,2Q/4/23,
280,ABEL D,PARTIAL,1632,30_1682000182664,,,Palau Agua Mineral Bidon 2 Ux 6 Lts,712,5,3560,WITHOUT MONEY,2Q/4/23,
281,ABEL D,PARTIAL,1632,30_1681999231012,,,Green Olive Aceite De Oliva Extra Intenso Petx 1 L,681,3,2043,WITHOUT MONEY,2Q/4/23,
282,ABEL D,PARTIAL,1632,30_1681999231012,,,La Española Garbanzo X 400 G,265,10,2650,WITHOUT MONEY,2Q/4/23,
283,ABEL D,PARTIAL,537,30_1681740739129,,,Yerbacid Yerba Mate Peperina X 500 G,255,2,510,WITHOUT MONEY,2Q/4/23,
284,ABEL D,PARTIAL,2630,30_1681771638833,,,Sportade Bebida Isotonica Frutas Packx6 U Botx 750 Ml,1250,1,1250,WITHOUT MONEY,2Q/4/23,
285,ABEL D,PARTIAL,709,30_1681739597288,,,Arbanit Cubanitos Avellanas Displayx 12 Unidades,1270,2,2540,WITHOUT MONEY,2Q/4/23,
286,ABEL D,PARTIAL,2022,30_1681576161143,,,Que Lo Paleo Barra Proteica Choco Negro X 12 U,1800,1,1800,WITHOUT MONEY,2Q/4/23,
287,ABEL D,PARTIAL,2476,30_1681574221185,,,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1800,1,1800,WITHOUT MONEY,2Q/4/23,
288,ABEL D,TOTAL,2050,30_1681913779173,,,Trym's Batatas Clasicas Sin Tacc X 65 G,205,10,2050,WITHOUT MONEY,2Q/4/23,
289,ABEL D,TOTAL,2050,30_1681913779173,,,Yerbacid Yerba Mate Peperina X 500 G,255,10,2550,WITHOUT MONEY,2Q/4/23,
290,ABEL D,TOTAL,2050,30_1681913779173,,,La Española Lentejas X 400 G,171,10,1710,WITHOUT MONEY,2Q/4/23,
291,ABEL D,TOTAL,2545,30_1681572632223,,,Que Lo Paleo Barra Proteica Choco Negro X 12 U,1800,2,3600,WITHOUT MONEY,2Q/4/23,
292,ABEL D,TOTAL,2545,30_1681572632223,,,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1800,2,3600,WITHOUT MONEY,2Q/4/23,
293,ABEL D,TOTAL,1762,30_1682692043285,,2023-02-05,Green Olive Aceite De Oliva Extra Intenso Petx 1 L,681,3,2043,WITHOUT MONEY,2Q/4/23,
294,ABEL D,PARTIAL,1977,30_1683300739036,2023-06-05,2023-10-05,Trym's Batatas Clasicas Sin Tacc X 65 G,205,1,205,Damaged/broken product,1Q/5/23,122.0
295,ABEL D,PARTIAL,1952,30_1682767726160,,2023-03-05,Que Lo Paleo Barra Proteica Choco Negro X 12 U,1800,1,1800,CLOSED,1Q/5/23,
296,ABEL D,PARTIAL,1789,30_1682775387285,,2023-03-05,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1800,1,1800,CLOSED,1Q/5/23,
297,ABEL D,PARTIAL,1632,30_1683296400747,2023-05-05,2023-09-05,Que Lo Paleo Barra Proteica Castañas X 12 U,2860,1,2860,CLOSED,1Q/5/23,123.0
298,ABEL D,PARTIAL,2317,30_1683295570141,2023-05-05,2023-09-05,La Española Lentejas X 400 G,171,1,171,CLOSED,1Q/5/23,123.0
299,ABEL D,PARTIAL,1996,30_1683130484750,2023-04-05,2023-08-05,Que Lo Paleo Barra Proteica Castañas X 12 U,2860,1,2860,CLOSED,1Q/5/23,122.0
300,ABEL D,PARTIAL,1946,30_1683131385653,2023-04-05,2023-08-05,Que Lo Paleo Barra Proteica Castañas X 12 U,2860,1,2860,CLOSED,1Q/5/23,122.0
301,ABEL D,PARTIAL,1969,30_1683215107860,2023-04-05,2023-08-05,Palau Agua Sin Gas 12 Botellax 500 Cc,952,2,1904,CLOSED,1Q/5/23,122.0
302,ABEL D,PARTIAL,1969,30_1683215107860,2023-04-05,2023-08-05,Que Lo Paleo Barra Proteica Castañas X 12 U,2860,1,2860,CLOSED,1Q/5/23,122.0
303,ABEL D,PARTIAL,364,30_1683639796934,2023-10-05,,Dec Mix Frutos Secos Energia X 250 G,400,6,2400,OUT OF STOCK,1Q/5/23,
304,ABEL D,PARTIAL,799,30_1683641031240,2023-10-05,,Lulemuu Bizcochos Dulce X 50 G,82,4,328,WITHOUT MONEY,1Q/5/23,
305,ABEL D,PARTIAL,799,30_1683641031240,2023-10-05,,Bay Biscuit Bizcochos Sabor Original X 35 G,75,5,375,WITHOUT MONEY,1Q/5/23,
306,ABEL D,PARTIAL,799,30_1683641031240,2023-10-05,,Dec Mix Frutos Secos Energia X 250 G,400,3,1200,WITHOUT MONEY,1Q/5/23,
307,ABEL D,PARTIAL,2349,30_1683650576072,2023-10-05,,Manto Blanco Sal Fina Packx20x 500 G,1144,1,1144,WITHOUT MONEY,1Q/5/23,
308,ABEL D,PARTIAL,2357,30_1683733798976,2023-11-05,,SPORTADE PROMO 3ERA AL 50%,3125,1,3125,WITHOUT MONEY,1Q/5/23,
309,LUIS EDUARDO R,TOTAL,2240,33_1674843896399,,2023-01-02,la española polenta x 500g,73,1,73,WITHOUT MONEY,2Q/1/23,
310,LUIS EDUARDO R,TOTAL,2240,33_1674843896399,,2023-01-02,franks alfajor chocolate sin tacc x 8 u,1205,2,2410,WITHOUT MONEY,2Q/1/23,
311,LUIS EDUARDO R,TOTAL,2240,33_1674843896399,,2023-01-02,Lulemuu Bizcochos Dulce X 50 G,82,15,1230,WITHOUT MONEY,2Q/1/23,
312,LUIS EDUARDO R,TOTAL,2240,33_1674843896399,,2023-01-02,Bay Biscuit Bizcochos Sabor Original X 35 G,75,15,1125,WITHOUT MONEY,2Q/1/23,
313,LUIS EDUARDO R,TOTAL,2240,33_1674843896399,,2023-01-02,Manto Blanco Sal Fina Packx20x 500 G,1144,20,22880,WITHOUT MONEY,2Q/1/23,
314,LUIS EDUARDO R,TOTAL,1632,33_1674947656158,,2023-03-02,Arrotuc Galleta De Arroz Integral Salada X 12 U,86,20,1720,WITHOUT MONEY,2Q/1/23,
315,LUIS EDUARDO R,TOTAL,1632,33_1674947656158,,2023-03-02,Arrotuc Galleta De Arroz Integral Sin Sal X 12 U,86,18,1548,WITHOUT MONEY,2Q/1/23,
316,LUIS EDUARDO R,TOTAL,1632,33_1674947656158,,2023-03-02,Dec Mix Frutos Secos Energia X 250 G,400,10,4000,WITHOUT MONEY,2Q/1/23,
317,LUIS EDUARDO R,PARTIAL,1987,33_1674771498719,,,Arrotuc Galleta De Arroz Integral Dulce X 12 U,86,10,860,WITHOUT MONEY,2Q/1/23,
318,LUIS EDUARDO R,PARTIAL,1987,33_1674771498719,,,Arrotuc Galleta De Arroz Integral Salada X 12 U,86,10,860,WITHOUT MONEY,2Q/1/23,
319,LUIS EDUARDO R,PARTIAL,1987,33_1674771498719,,,Arrotuc Galleta De Arroz Integral Sin Sal X 12 U,86,10,860,WITHOUT MONEY,2Q/1/23,
320,LUIS EDUARDO R,PARTIAL,1987,33_1674771498719,,,Que Lo Paleo Barra Proteica Choco Blanco X 12 U,1400,1,1400,WITHOUT MONEY,2Q/1/23,
321,LUIS EDUARDO R,TOTAL,1300,33_1675949155081,2023-09-02,,Doña Pupa Pure De Tomate X 520 G,1460,13,18980,WITHOUT MONEY,1Q/2/23,
322,LUIS EDUARDO R,TOTAL,1300,33_1675949155081,2023-09-02,,Doña Pupa Salsa Pomarola Tetrax 340 G,122,15,1830,WITHOUT MONEY,2Q/1/23,
323,LUIS EDUARDO R,TOTAL,1300,33_1675949155081,2023-09-02,,Lulemuu Tostadas Arroz Agrupadas X 90 G,85,5,425,WITHOUT MONEY,2Q/1/23,
324,LUIS EDUARDO R,TOTAL,1300,33_1676046995360,2023-10-02,,QUILMES CLASICA,1158,25,28950,WITHOUT MONEY,1Q/2/23,
325,LUIS EDUARDO R,TOTAL,2272,33_1675280110465,2023-02-02,2023-06-02,franks alfajor chocolate sin tacc x 8 u,1205,2,2410,WITHOUT MONEY,1Q/2/23,120.0
